[00:00:00,020 --> 00:00:01,780] 大家好,我是曲曲
[00:00:01,780 --> 00:00:05,660] 欢迎来到我们金贵的关系2.0的课程
[00:00:05,660 --> 00:00:10,100] 那我们金贵二的口号是熊进、慈进、一网打尽
[00:00:10,100 --> 00:00:11,260] 在金贵一的时候
[00:00:11,260 --> 00:00:14,480] 我们已经系统地把人际关系、情感关系
[00:00:14,480 --> 00:00:17,100] 还有慈进的一些方法论教给了大家
[00:00:17,100 --> 00:00:19,660] 而今天的这门金贵二呢
[00:00:19,660 --> 00:00:23,040] 则是专门给大家来讲解熊进方面的内容
[00:00:23,040 --> 00:00:27,060] 是一门针对女性创业、女性商业的课程
[00:00:27,060 --> 00:00:29,000] 我会教大家如何创业
[00:00:29,000 --> 00:00:30,720] 如何提高商业思维
[00:00:30,720 --> 00:00:34,360] 如何搭建商业模式和产品体系等等
[00:00:34,360 --> 00:00:38,140] 让宝子们学会用商业的方式拿到大结果
[00:00:38,140 --> 00:00:40,120] 好 首先呢给大家介绍一下
[00:00:40,120 --> 00:00:43,640] 为什么会产生这样一门金贵二的课程
[00:00:43,640 --> 00:00:44,920] 原因呢有两个
[00:00:44,920 --> 00:00:46,760] 第一个啊 是因为我觉得
[00:00:47,220 --> 00:00:49,120] 有事业基本盘的女性
[00:00:49,120 --> 00:00:51,440] 其实是更容易调动资源
[00:00:51,440 --> 00:00:54,340] 更容易让一切为我所用的
[00:00:54,340 --> 00:00:56,720] 很多的宝子呢 他们通过学习金贵一
[00:00:56,720 --> 00:00:58,340] 在这个人际关系当中
[00:00:58,340 --> 00:00:59,920] 拿到了比较好的结果
[00:00:59,920 --> 00:01:02,280] 但是呢我也一直都强调啊
[00:01:02,280 --> 00:01:03,860] 无论你是辞进也好
[00:01:03,860 --> 00:01:06,900] 或者说你是通过人际关系拿结果也好
[00:01:06,900 --> 00:01:09,340] 都只是比较初步的一个阶段
[00:01:09,340 --> 00:01:10,280] 到最后呢
[00:01:10,280 --> 00:01:12,800] 我们还是要有一个自己的发展方向
[00:01:12,800 --> 00:01:15,480] 或者说是一个自己的事业盘
[00:01:15,480 --> 00:01:16,760] 否则呢很多时候啊
[00:01:16,760 --> 00:01:18,080] 你就是东搞搞西搞搞
[00:01:18,080 --> 00:01:19,820] 没有一个自己的大根基
[00:01:19,820 --> 00:01:22,440] 就比如说你人际关系已经搞得非常好了
[00:01:22,440 --> 00:01:24,980] 别人也希望可以帮助到你
[00:01:24,980 --> 00:01:26,020] 但是这个时候呢
[00:01:26,020 --> 00:01:28,500] 由于你没有自己的事业基本盘
[00:01:28,500 --> 00:01:30,140] 你就只能干巴巴地说
[00:01:30,140 --> 00:01:31,940] 我们要不要合作一下
[00:01:31,940 --> 00:01:33,140] 搞点事呗
[00:01:33,140 --> 00:01:34,780] 我们一起挣点钱呗
[00:01:34,780 --> 00:01:36,520] 你给我对接点资源呗
[00:01:36,520 --> 00:01:37,600] 但是你会发现
[00:01:37,600 --> 00:01:39,860] 当你没有一个具体的身份
[00:01:39,860 --> 00:01:41,260] 具体的企业
[00:01:41,260 --> 00:01:43,100] 或者是事业方向的时候
[00:01:43,100 --> 00:01:44,440] 别人就算想帮你
[00:01:44,440 --> 00:01:45,980] 他也找不到切入点
[00:01:45,980 --> 00:01:48,820] 但是如果你有一个非常明确的业务盘
[00:01:48,820 --> 00:01:49,840] 拥有一个身份
[00:01:49,840 --> 00:01:51,600] 你就能直接告诉别人
[00:01:51,600 --> 00:01:52,840] 你是做什么的
[00:01:52,840 --> 00:01:54,600] 你需要什么样的资源
[00:01:54,600 --> 00:01:58,940] 那么别人就更有可能有方向性的来帮助你
[00:01:58,940 --> 00:02:01,540] 或者说他有相应的需求的时候
[00:02:01,540 --> 00:02:03,540] 他就知道我直接可以来找你
[00:02:03,540 --> 00:02:04,920] 为我进行服务
[00:02:04,920 --> 00:02:10,120] 所以有一个业务主体你才能够更直接的去调动资源
[00:02:10,120 --> 00:02:11,920] 那第二个原因就是
[00:02:11,920 --> 00:02:16,400] 我们的各位宝宝已经有了更高的人生追求了
[00:02:16,400 --> 00:02:20,700] 其实每一个人他的欲望都是有不同的排序的
[00:02:20,700 --> 00:02:26,020] 当他的重大的或者说核心的诉求跟欲望没有被解决的时候
[00:02:26,020 --> 00:02:32,620] 他就不太会有其他的多余的精力去寻找他的第二欲望和第三欲望
[00:02:32,620 --> 00:02:35,940] 比如说我们之前有很多联邁咨询的女孩子
[00:02:35,940 --> 00:02:39,120] 往往都是感情上有重大欲求
[00:02:39,120 --> 00:02:42,820] 或者说在基本的温饱上面有需求
[00:02:42,820 --> 00:02:49,400] 所以他们大多数的时候都只会问情感相关或者是慈敬相关的一些问题
[00:02:49,400 --> 00:02:53,560] 他们也会更着急,更想快速地去拿到结果
[00:02:54,240 --> 00:02:56,760] 但是呢,这几年我非常欣慰的一点呢
[00:02:56,760 --> 00:02:59,280] 就是我们的学员他们在不断地成长
[00:02:59,280 --> 00:03:02,400] 不断地在人际关系,还有情感关系
[00:03:02,400 --> 00:03:04,960] 以及资金当中拿到了结果
[00:03:04,960 --> 00:03:08,100] 他们原本的需求呢,已经被满足了
[00:03:08,100 --> 00:03:12,080] 所以啊,他的第二欲望和第三欲望就开始浮现了
[00:03:12,080 --> 00:03:15,980] 在我们的联邁里,还有我们的后台的咨询案例里面呢
[00:03:15,980 --> 00:03:17,960] 已经可以非常明显地看到
[00:03:17,960 --> 00:03:21,940] 咨询雄竞的客户的比例越来越高
[00:03:21,940 --> 00:03:25,920] 大部分的慈敬宝宝现在已经都转向了雄竞了
[00:03:25,920 --> 00:03:30,720] 他们不仅仅是希望自己可以发展好情感关系
[00:03:30,720 --> 00:03:34,100] 更加希望自己可以把事业也能够发展好
[00:03:34,100 --> 00:03:36,560] 他们不仅仅是想赚到钱
[00:03:36,560 --> 00:03:40,680] 同时他们也很希望可以实现自己的人生价值
[00:03:40,680 --> 00:03:44,280] 这个其实也是我的直播间的一个主旋律
[00:03:44,280 --> 00:03:46,780] 一直看我直播的宝宝应该是知道的
[00:03:46,780 --> 00:03:48,780] 其实我们一直都在强调
[00:03:48,780 --> 00:03:52,200] 我们要自我发展为第一要一
[00:03:52,200 --> 00:03:53,800] 虽然刚开始的时候呢
[00:03:53,800 --> 00:03:56,120] 大家可能会更多地去关注那些
[00:03:56,120 --> 00:03:58,360] 所谓的炸裂的一些情感故事
[00:03:58,360 --> 00:04:01,140] 他们会觉得我好像是一个主角
[00:04:01,140 --> 00:04:03,300] 紫禁的一个情感博主
[00:04:03,300 --> 00:04:05,820] 但是实际上看的时间长了以后呢
[00:04:05,820 --> 00:04:07,920] 大家就能够深刻地理解到
[00:04:07,920 --> 00:04:09,900] 我输出的所有的东西
[00:04:09,900 --> 00:04:11,900] 其实都是围绕着
[00:04:11,900 --> 00:04:15,100] 大家的自我发展来进行的
